YearOneDate,YearOneValue,YearTwoDate,YearTwoValue,YearThreeDate,YearThreeValue
1/22/2020,1,1/1/2021,352813,1/1/2022,825870
1/23/2020,1,1/2/2021,355409,1/2/2022,826329
1/24/2020,1,1/3/2021,356837,1/3/2022,828234
1/25/2020,1,1/4/2021,358853,1/4/2022,830557
1/26/2020,1,1/5/2021,362429,1/5/2022,832782
1/27/2020,1,1/6/2021,366299,1/6/2022,834879
1/28/2020,1,1/7/2021,370292,1/7/2022,837319
1/29/2020,1,1/8/2021,374520,1/8/2022,838192
1/30/2020,1,1/9/2021,377651,1/9/2022,838813
1/31/2020,1,1/10/2021,379743,1/10/2022,840861
2/1/2020,1,1/11/2021,381594,1/11/2022,843380
2/2/2020,1,1/12/2021,385969,1/12/2022,846231
2/3/2020,1,1/13/2021,389937,1/13/2022,848792
2/4/2020,1,1/14/2021,393717,1/14/2022,851588
2/5/2020,1,1/15/2021,397530,1/15/2022,852597
2/6/2020,1,1/16/2021,401080,1/16/2022,853363
2/7/2020,1,1/17/2021,403064,1/17/2022,854402
2/8/2020,1,1/18/2021,404650,1/18/2022,857136
2/9/2020,1,1/19/2021,407052,1/19/2022,860621
2/10/2020,1,1/20/2021,411426,1/20/2022,863551
2/11/2020,1,1/21/2021,415520,1/21/2022,866932
2/12/2020,1,1/22/2021,419286,1/22/2022,867964
2/13/2020,1,1/23/2021,422809,1/23/2022,868706
2/14/2020,1,1/24/2021,424638,1/24/2022,870881
2/15/2020,1,1/25/2021,426420,1/25/2022,874038
2/16/2020,1,1/26/2021,430402,1/26/2022,877900
2/17/2020,1,1/27/2021,434458,1/27/2022,880520
2/18/2020,1,1/28/2021,438259,1/28/2022,884607
2/19/2020,1,1/29/2021,441812,1/29/2022,885821
2/20/2020,1,1/30/2021,444670,1/30/2022,886310
2/21/2020,1,1/31/2021,446602,1/31/2022,888905
2/22/2020,1,2/1/2021,448381,2/1/2022,892252
2/23/2020,1,2/2/2021,451922,2/2/2022,895867
2/24/2020,1,2/3/2021,455778,2/3/2022,898353
2/25/2020,1,2/4/2021,459659,2/4/2022,902482
2/26/2020,1,2/5/2021,463316,2/5/2022,903411
2/27/2020,1,2/6/2021,466041,2/6/2022,903881
2/28/2020,1,2/7/2021,467504,2/7/2022,906747
2/29/2020,2,2/8/2021,468953,2/8/2022,909748
3/1/2020,2,2/9/2021,471978,2/9/2022,913083
3/2/2020,7,2/10/2021,475337,2/10/2022,916336
3/3/2020,8,2/11/2021,478492,2/11/2022,919044
3/4/2020,12,2/12/2021,481325,2/12/2022,919870
3/5/2020,13,2/13/2021,483578,2/13/2022,920454
3/6/2020,15,2/14/2021,484729,2/14/2022,923630
3/7/2020,18,2/15/2021,485675,2/15/2022,926228
3/8/2020,22,2/16/2021,487323,2/16/2022,929413
3/9/2020,24,2/17/2021,489731,2/17/2022,932360
3/10/2020,29,2/18/2021,492289,2/18/2022,934862
